"title","url","maker","type","year","km","price"
"17 ES Sedan P 3.5L AT Platinum -- Ref# 670","https://dubai.dubizzle.com/motors/used-cars/lexus/es-series/2018/5/15/17-es-sedan-p-35l-at-platinum-ref-670-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=48","Lexus","ES-Series","2017","7,721","175350"
"COROLLA (ZERO DOWN PAYMENT 100% FINANCE,, FRE...","https://dubai.dubizzle.com/motors/used-cars/toyota/corolla/2019/1/11/corolla-zero-down-payment-100-finance-free-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=49","Toyota","Corolla","2016","56,000","38500"
"Hot offer nissan sunny 2016 loan available pe...","https://dubai.dubizzle.com/motors/used-cars/nissan/sunny/2019/1/18/nissan-sunny-2016-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=50","Nissan","Sunny","2016","70,000","19999"
"TOP OF THE RANGE FORD EXPEDITION LIMITED FOR ...","https://dubai.dubizzle.com/motors/used-cars/ford/expedition/2018/12/20/top-of-the-range-ford-expedition-limited-f-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=51","Ford","Expedition","2011","157,000","32000"
"*HERMES* Rolls Royce Wraith, 2018, Starlights...","https://dubai.dubizzle.com/motors/used-cars/rolls-royce/wraith/2018/7/28/rolls-royce-wraith-2018-100kms-only-starli-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=53","Rolls Royce","Wraith","2018","90","1250000"
"Bentley Flying Spur, 2006, 53,000KMs Only, GC...","https://dubai.dubizzle.com/motors/used-cars/bentley/continental-flying-spur/2019/1/23/bentley-flying-spur-2006-53-000kms-only-gc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=54","Bentley","Continental Flying Spur","2006","53,000","112000"
"Bentley Mulsanne Mulliner Edition, 2013, 69,0...","https://dubai.dubizzle.com/motors/used-cars/bentley/mulsanne/2019/1/23/bentley-mulsanne-mulliner-edition-2013-69--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=55","Bentley","Mulsanne","2013","69,000","395000"
"[2016] PORSCHE CAYENNE GTS IN EXCELLENT CONDI...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayenne/2019/1/23/-2016-porsche-cayenne-gts-in-excellent-con-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=56","Porsche","Cayenne","2016","31,053","239000"
"BMW 435I M4 BODY KIT 2014 warranty 12 month","https://dubai.dubizzle.com/motors/used-cars/bmw/4-series/2019/1/28/bmw-435i-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=57","BMW","4-Series","2014","69,000","95000"
"Immaculate BMW 316i","https://dubai.dubizzle.com/motors/used-cars/bmw/3-series/2019/1/13/immaculate-bmw-3-series-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=58","BMW","3-Series","2013","80,000","45000"
"Nissan Altima 2016","https://dubai.dubizzle.com/motors/used-cars/nissan/altima/2019/1/28/nissan-altima-2016-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=59","Nissan","Altima","2016","57,000","33500"
"Expat owned Nissan Murano GCC full option and...","https://dubai.dubizzle.com/motors/used-cars/nissan/murano/2019/1/18/expat-owned-nissan-murano-gcc-full-option--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=60","Nissan","Murano","2008","146,890","15500"
"[2018]BRAND NEW CADILLAC ESCALADE PREMIUM WIT...","https://dubai.dubizzle.com/motors/used-cars/cadillac/escalade/2018/5/7/-2018-cadillac-escalade-premium-with-warra-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=61","Cadillac","Escalade","2018","21","289000"
"[2018] AUDI A8L S-LINE IN IMMACULATE CONDITIO...","https://dubai.dubizzle.com/motors/used-cars/audi/a8/2018/12/26/-2018-audi-a8l-s-line-in-immaculate-condit-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=62","Audi","A8","2018","17,140","349000"
"GLE 450 Coupe AMG fully tuned","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gl-class/2019/1/25/gle-450-coupe-amg-fully-tuned-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=63","Mercedes-Benz","GL-Class","2016","77,000","240000"
"MERCEDES S560 2018 Model Under warranty GCC S...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2019/1/19/mercedes-s560-2018-model-under-warranty-gc-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=64","Mercedes-Benz","S-Class","2018","14,500","464000"
"accord full option turbo 2018 70000aed 055302...","https://dubai.dubizzle.com/motors/used-cars/honda/accord/2019/1/10/accord-full-option-turbo-2018-75000aed-055-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDM%3D&pos=65","Honda","Accord","2018","2,500","70000"
